"time","inserts_per_minute"
"2020-09-18 15:46:00","35456"
"2020-09-18 15:45:00","99267"
"2020-09-18 15:44:00","100330"
"2020-09-18 15:43:00","100719"
"2020-09-18 15:42:00","100067"
"2020-09-18 15:41:00","100737"
"2020-09-18 15:40:00","101041"
"2020-09-18 15:39:00","101142"
"2020-09-18 15:38:00","101178"
"2020-09-18 15:37:00","101300"
"2020-09-18 15:36:00","100553"
"2020-09-18 15:35:00","99878"
"2020-09-18 15:34:00","101372"
"2020-09-18 15:33:00","98283"
"2020-09-18 15:32:00","100403"
"2020-09-18 15:31:00","101120"
"2020-09-18 15:30:00","100231"
"2020-09-18 15:29:00","98987"
"2020-09-18 15:28:00","100746"
"2020-09-18 15:27:00","99849"
"2020-09-18 15:26:00","101374"
"2020-09-18 15:25:00","102310"
"2020-09-18 15:24:00","101827"
"2020-09-18 15:23:00","102358"
"2020-09-18 15:22:00","102373"
"2020-09-18 15:21:00","102587"
"2020-09-18 15:20:00","102503"
"2020-09-18 15:19:00","103014"
"2020-09-18 15:18:00","102952"
"2020-09-18 15:17:00","102722"
"2020-09-18 15:16:00","102369"
"2020-09-18 15:15:00","102958"
"2020-09-18 15:14:00","101012"
"2020-09-18 15:13:00","102024"
"2020-09-18 15:12:00","102536"
"2020-09-18 15:11:00","101791"
"2020-09-18 15:10:00","101756"
"2020-09-18 15:09:00","102360"
"2020-09-18 15:08:00","103184"
"2020-09-18 15:07:00","104025"
"2020-09-18 15:06:00","104230"
"2020-09-18 15:05:00","103409"
"2020-09-18 15:04:00","104382"
"2020-09-18 15:03:00","103932"
"2020-09-18 15:02:00","104302"
"2020-09-18 15:01:00","104614"
"2020-09-18 15:00:00","104381"
"2020-09-18 14:59:00","104476"
"2020-09-18 14:58:00","104856"
"2020-09-18 14:57:00","103857"
"2020-09-18 14:56:00","104171"
"2020-09-18 14:55:00","104223"
"2020-09-18 14:54:00","102472"
"2020-09-18 14:53:00","104428"
"2020-09-18 14:52:00","102860"
"2020-09-18 14:51:00","103991"
"2020-09-18 14:50:00","105138"
"2020-09-18 14:49:00","105477"
"2020-09-18 14:48:00","104855"
"2020-09-18 14:47:00","105388"
"2020-09-18 14:46:00","105311"
"2020-09-18 14:45:00","105560"
"2020-09-18 14:44:00","105030"
"2020-09-18 14:43:00","105702"
"2020-09-18 14:42:00","105141"
"2020-09-18 14:41:00","104868"
"2020-09-18 14:40:00","104623"
"2020-09-18 14:39:00","105039"
"2020-09-18 14:38:00","105069"
"2020-09-18 14:37:00","103847"
"2020-09-18 14:36:00","102288"
"2020-09-18 14:35:00","99752"
"2020-09-18 14:34:00","94976"
"2020-09-18 14:33:00","94432"
"2020-09-18 14:32:00","94726"
"2020-09-18 14:31:00","94967"
"2020-09-18 14:30:00","94533"
"2020-09-18 14:29:00","95234"
"2020-09-18 14:28:00","94285"
"2020-09-18 14:27:00","93618"
"2020-09-18 14:26:00","90174"
"2020-09-18 14:25:00","82404"
"2020-09-18 14:24:00","79172"
"2020-09-18 14:23:00","77857"
"2020-09-18 14:22:00","76119"
"2020-09-18 14:21:00","75363"
"2020-09-18 14:20:00","72257"
"2020-09-18 14:19:00","74145"
"2020-09-18 14:18:00","73732"
"2020-09-18 14:17:00","74076"
"2020-09-18 14:16:00","74695"
"2020-09-18 14:15:00","73139"
"2020-09-18 14:14:00","74344"
"2020-09-18 14:13:00","74821"
"2020-09-18 14:12:00","75328"
"2020-09-18 14:11:00","59724"
"2020-09-18 14:10:00","41025"
"2020-09-18 14:09:00","40978"
"2020-09-18 14:08:00","32711"
"2020-09-18 14:07:00","29302"
"2020-09-18 14:06:00","27613"
"2020-09-18 14:05:00","27586"
"2020-09-18 14:04:00","25714"
"2020-09-18 14:03:00","25882"
"2020-09-18 14:02:00","16752"
"2020-09-18 14:01:00","20860"
"2020-09-18 14:00:00","24710"
"2020-09-18 13:59:00","26936"
"2020-09-18 13:58:00","27413"
"2020-09-18 13:57:00","27172"
"2020-09-18 13:56:00","26882"
"2020-09-18 13:55:00","26312"
"2020-09-18 13:54:00","20352"
"2020-09-18 13:53:00","23477"
"2020-09-18 13:52:00","19834"
"2020-09-18 13:51:00","12084"
"2020-09-18 13:50:00","11801"
"2020-09-18 13:49:00","7729"
"2020-09-18 13:48:00","799"
"2020-09-18 13:47:00","3871"
"2020-09-18 13:46:00","7754"
"2020-09-18 13:45:00","7763"
"2020-09-18 13:44:00","7786"
"2020-09-18 13:43:00","7836"
"2020-09-18 13:42:00","7843"
"2020-09-18 13:41:00","7878"
"2020-09-18 13:40:00","7888"
"2020-09-18 13:39:00","7916"
"2020-09-18 13:38:00","7971"
"2020-09-18 13:37:00","7982"
"2020-09-18 13:36:00","8052"
"2020-09-18 13:35:00","8075"
"2020-09-18 13:34:00","6980"
"2020-09-18 13:33:00","6128"
"2020-09-18 13:32:00","6199"
"2020-09-18 13:31:00","6284"
"2020-09-18 13:30:00","6259"
"2020-09-18 13:29:00","5537"
"2020-09-18 13:28:00","4857"
"2020-09-18 13:27:00","5124"
"2020-09-18 13:26:00","3130"
"2020-09-18 13:25:00","4229"
"2020-09-18 13:24:00","1760"
"2020-09-18 13:23:00","2015"
"2020-09-18 13:22:00","2018"
"2020-09-18 13:21:00","1987"
"2020-09-18 13:20:00","2031"
"2020-09-18 13:19:00","422"
